Day,High Temperature,Low Temperature,Weather,Wind Direction,Wind Speed,Air Quality,Air Quality Info,Air Quality Level
2017-05-31,33℃,19℃,Overcast~Cloudy,South Wind,1-2,106,Light Pollution,3
2017-06-01,30℃,17℃,Sunny~Overcast,South Wind,1-2,63,Good,2
2017-06-02,25℃,13℃,Shower~Cloudy,East Wind,1-2,58,Good,2
2017-06-03,28℃,16℃,Sunny,South Wind,1-2,54,Good,2
2017-06-04,31℃,19℃,Cloudy,Southwest Wind,3-4,83,Good,2
2017-06-05,28℃,15℃,Overcast~Light rain,Southwest Wind,3-4,98,Good,2
2017-06-06,20℃,14℃,Light rain~Sunny,South Wind,1-2,56,Good,2
2017-06-07,31℃,18℃,Sunny~Cloudy,South Wind,1-2,72,Good,2
2017-06-08,34℃,20℃,Cloudy~Sunny,South Wind,1-2,51,Good,2
2017-06-09,37℃,21℃,Sunny~Cloudy,South Wind,3-4,78,Good,2
2017-06-10,30℃,17℃,Overcast~Cloudy,East Wind,1-2,62,Good,2
2017-06-11,31℃,18℃,Overcast~Cloudy,South Wind,1-2,72,Good,2
2017-06-12,27℃,18℃,Overcast,South Wind,1-2,66,Good,2
2017-06-13,29℃,17℃,Cloudy~Sunny,South Wind,1-2,62,Good,2
2017-06-14,35℃,21℃,Sunny,Southwest Wind,3-4,69,Good,2
2017-06-15,38℃,24℃,Sunny,South Wind,1-2,82,Good,2
2017-06-16,36℃,24℃,Cloudy~Overcast,South Wind,3-4,100,Good,2
2017-06-17,35℃,25℃,Shower~Cloudy,South Wind,3-4,118,Light Pollution,3
2017-06-18,34℃,23℃,Overcast~Thundershower,South Wind,3-4,114,Light Pollution,3
2017-06-19,31℃,21℃,Thundershower~Overcast,South Wind,1-2,74,Good,2
2017-06-20,34℃,22℃,Cloudy~Overcast,South Wind,1-2,77,Good,2
2017-06-21,32℃,22℃,Shower~Moderate rain,South Wind,1-2,85,Good,2
2017-06-22,23℃,20℃,Heavy rain,South Wind,3-4,48,Excellent,1
2017-06-23,24℃,19℃,Thundershower,East Wind,1-2,36,Excellent,1
2017-06-24,25℃,18℃,Shower~Overcast,North Wind,3-4,35,Excellent,1
2017-06-25,30℃,20℃,Cloudy,South Wind,1-2,54,Good,2
2017-06-26,33℃,21℃,Cloudy~Sunny,South Wind,1-2,56,Good,2
2017-06-27,34℃,22℃,Cloudy~Sunny,South Wind,1-2,112,Light Pollution,3
2017-06-28,34℃,23℃,Cloudy,South Wind,1-2,120,Light Pollution,3
2017-06-29,35℃,24℃,Thundershower~Cloudy,South Wind,1-2,103,Light Pollution,3
2017-06-30,35℃,25℃,Cloudy,South Wind,1-2,108,Light Pollution,3
2017-07-01,35℃,25℃,Cloudy,South Wind,1-2,122,Light Pollution,3
2017-07-02,35℃,24℃,Cloudy~Sunny,South Wind,1-2,139,Light Pollution,3
2017-07-03,35℃,24℃,Cloudy~Thundershower,South Wind,1-2,83,Good,2
2017-07-04,31℃,23℃,Thundershower,South Wind,1-2,70,Good,2
2017-07-05,30℃,23℃,Cloudy~Thundershower,South Wind,1-2,111,Light Pollution,3
2017-07-06,25℃,23℃,Heavy rain,East Wind,1-2,95,Good,2
2017-07-07,32℃,23℃,Overcast~Cloudy,South Wind,1-2,54,Good,2
2017-07-08,34℃,25℃,Cloudy~Thundershower,South Wind,1-2,64,Good,2
2017-07-09,34℃,23℃,Cloudy,South Wind,1-2,114,Light Pollution,3
2017-07-10,36℃,19℃,Cloudy,Southwest Wind,1-2,64,Good,2
2017-07-11,36℃,26℃,Cloudy,South Wind,1-2,95,Good,2
2017-07-12,36℃,27℃,Cloudy,South Wind,1-2,118,Light Pollution,3
2017-07-13,36℃,25℃,Cloudy~Thundershower,South Wind,1-2,94,Good,2
2017-07-14,32℃,24℃,Thundershower~Overcast,East Wind,1-2,60,Good,2
2017-07-15,33℃,25℃,Overcast,East Wind,1-2,55,Good,2
2017-07-16,34℃,25℃,Cloudy~Sunny,South Wind,1-2,95,Good,2
2017-07-17,34℃,25℃,Sunny~Cloudy,South Wind,1-2,76,Good,2
2017-07-18,33℃,25℃,Shower,South Wind,1-2,88,Good,2
2017-07-19,31℃,25℃,Overcast~Cloudy,South Wind,1-2,98,Good,2
2017-07-20,33℃,25℃,Thundershower~Heavy rain,South Wind,1-2,123,Light Pollution,3
2017-07-21,27℃,23℃,Light rain~Shower,East Wind,1-2,44,Excellent,1
2017-07-22,28℃,24℃,Overcast,South Wind,1-2,37,Excellent,1
2017-07-23,28℃,24℃,Shower,South Wind,1-2,59,Good,2
2017-07-24,29℃,23℃,Shower,North Wind,1-2,63,Good,2
2017-07-25,29℃,22℃,Shower~Overcast,South Wind,1-2,52,Good,2
2017-07-26,24℃,20℃,Moderate rain~Shower,North Wind,1-2,39,Excellent,1
2017-07-27,28℃,23℃,Overcast~Cloudy,South Wind,1-2,58,Good,2
2017-07-28,30℃,22℃,Cloudy~Overcast,South Wind,1-2,52,Good,2
2017-07-29,30℃,22℃,Cloudy,South Wind,1-2,56,Good,2
2017-07-30,31℃,21℃,Cloudy~Sunny,South Wind,1-2,70,Good,2
2017-07-31,31℃,23℃,Sunny~Cloudy,South Wind,1-2,110,Light Pollution,3
2017-08-01,30℃,24℃,Overcast~Thundershower,South Wind,1-2,94,Good,2
2017-08-02,28℃,24℃,Moderate rain,East Wind,1-2,52,Good,2
2017-08-03,33℃,24℃,Overcast~Sunny,South Wind,1-2,38,Excellent,1
2017-08-04,36℃,25℃,Sunny~Cloudy,South Wind,1-2,55,Good,2
2017-08-05,32℃,23℃,Thundershower,North Wind,1-2,63,Good,2
2017-08-06,34℃,24℃,Cloudy~Sunny,South Wind,1-2,42,Excellent,1
2017-08-07,35℃,24℃,Cloudy~Sunny,South Wind,1-2,40,Excellent,1
2017-08-08,33℃,22℃,Overcast~Thundershower,East Wind,1-2,74,Good,2
2017-08-09,30℃,23℃,Thundershower-Sunny,South Wind,1-2,44,Excellent,1
2017-08-10,32℃,24℃,Cloudy,South Wind,1-2,85,Good,2
2017-08-11,33℃,23℃,Thundershower~Moderate rain,Northeast Wind,3-4,122,Light Pollution,3
2017-08-12,31℃,22℃,Thundershower,East Wind,1-2,45,Excellent,1
2017-08-13,29℃,23℃,Thundershower,South Wind,1-2,60,Good,2
2017-08-14,30℃,23℃,Cloudy,Southeast Wind,1-2,46,Excellent,1
2017-08-15,30℃,23℃,Overcast~Thundershower,Southwest Wind,1-2,74,Good,2
2017-08-16,28℃,22℃,Thundershower~Overcast,East Wind,1-2,82,Good,2
2017-08-17,29℃,22℃,Overcast,Northeast Wind,1-2,44,Excellent,1
2017-08-18,29℃,22℃,Cloudy~Thundershower,Southeast Wind,1-2,73,Good,2
2017-08-19,29℃,22℃,Thundershower~Cloudy,East Wind,1-2,62,Good,2
2017-08-20,30℃,23℃,Cloudy,Southwest Wind,1-2,82,Good,2
2017-08-21,32℃,24℃,Cloudy~Thundershower,South Wind,1-2,98,Good,2
2017-08-22,28℃,22℃,Thundershower~Heavy rain,North Wind,1-2,99,Good,2
2017-08-23,31℃,22℃,Overcast~Cloudy,Northeast Wind,1-2,49,Excellent,1
2017-08-24,33℃,20℃,Sunny~Cloudy,North Wind,1-2,37,Excellent,1
2017-08-25,32℃,19℃,Sunny,West Wind,1-2,36,Excellent,1
2017-08-26,28℃,19℃,Sunny~Shower,Southwest Wind,1-2,49,Excellent,1
2017-08-27,22℃,18℃,Moderate rain~Shower,North Wind,1-2,33,Excellent,1
2017-08-28,28℃,17℃,Cloudy~Sunny,Northeast Wind,1-2,35,Excellent,1
2017-08-29,25℃,16℃,Sunny,Southwest Wind,1-2,42,Excellent,1
2017-08-30,27℃,19℃,Cloudy,Southwest Wind,1-2,76,Good,2
2017-08-31,27℃,19℃,Overcast,South Wind,1-2,103,Light Pollution,3
2017-09-01,27℃,19℃,Cloudy~Overcast,Southwest Wind,1-2,175,Moderate Pollution,4
2017-09-02,26℃,19℃,Overcast,South Wind,1-2,151,Moderate Pollution,4
2017-09-03,28℃,19℃,Cloudy,South Wind,1-2,76,Good,2
2017-09-04,28℃,20℃,Overcast,Southwest Wind,1-2,118,Light Pollution,3
2017-09-05,30℃,19℃,Overcast~Cloudy,North Wind,1-2,67,Good,2
2017-09-06,31℃,18℃,Sunny,North Wind,1-2,43,Excellent,1
2017-09-07,31℃,19℃,Sunny,South Wind,1-2,79,Good,2
2017-09-08,30℃,20℃,Cloudy,East Wind,1-2,137,Light Pollution,3
2017-09-09,30℃,21℃,Overcast,Southeast Wind,1-2,127,Light Pollution,3
2017-09-10,28℃,19℃,Shower~Sunny,Northwest Wind,1-2,121,Light Pollution,3
2017-09-11,29℃,16℃,Sunny,North Wind,1-2,43,Excellent,1
2017-09-12,29℃,19℃,Sunny~Cloudy,South Wind,1-2,49,Excellent,1
2017-09-13,28℃,19℃,Cloudy,East Wind,1-2,100,Good,2
2017-09-14,28℃,20℃,Overcast,South Wind,1-2,125,Light Pollution,3
2017-09-15,28℃,18℃,Overcast,South Wind,1-2,86,Good,2
2017-09-16,28℃,18℃,Shower~Cloudy,Southwest Wind,1-2,117,Light Pollution,3
2017-09-17,29℃,16℃,Sunny,South Wind,1-2,39,Excellent,1
2017-09-18,30℃,18℃,Sunny,Southwest Wind,1-2,58,Good,2
2017-09-19,29℃,15℃,Sunny~Cloudy,Northwest Wind,3-4,46,Excellent,1
2017-09-20,27℃,14℃,Sunny,South Wind,1-2,46,Excellent,1
2017-09-21,29℃,17℃,Shower,Southwest Wind,1-2,88,Good,2
2017-09-22,28℃,14℃,Sunny,Northwest Wind,3-4,69,Good,2
2017-09-23,28℃,17℃,Cloudy~Overcast,South Wind,1-2,116,Light Pollution,3
2017-09-24,29℃,18℃,Cloudy-Shower,Northeast Wind,1-2,104,Light Pollution,3
2017-09-25,28℃,18℃,Overcast,Southwest Wind,1-2,107,Light Pollution,3
2017-09-26,23℃,13℃,Light rain~overcast,North Wind,3-4,77,Good,2
2017-09-27,23℃,10℃,Cloudy~Sunny,South Wind,1-2,51,Good,2
2017-09-28,22℃,11℃,Sunny~Cloudy,Southwest Wind,1-2,34,Excellent,1
2017-09-29,25℃,11℃,Sunny,North Wind,1-2,71,Good,2
2017-09-30,27℃,16℃,Cloudy,South Wind,1-2,139,Light Pollution,3
2017-10-01,26℃,13℃,Cloudy~Overcast,North Wind,3-4,116,Light Pollution,3
2017-10-02,18℃,9℃,Light rain~overcast,Northeast Wind,1-2,40,Excellent,1
2017-10-03,20℃,9℃,Cloudy~Sunny,Southwest Wind,1-2,33,Excellent,1
2017-10-04,22℃,10℃,Sunny,Southwest Wind,3-4,53,Good,2
2017-10-05,21℃,11℃,Cloudy,South Wind,1-2,75,Good,2
2017-10-06,22℃,13℃,Cloudy~Overcast,South Wind,1-2,92,Good,2
2017-10-07,20℃,13℃,Light rain~overcast,Northeast Wind,1-2,143,Light Pollution,3
2017-10-08,18℃,13℃,Light rain,Northeast Wind,1-2,172,Moderate Pollution,4
2017-10-09,15℃,9℃,Moderate rain,North Wind,3-4,49,Excellent,1
2017-10-10,11℃,6℃,Light rain~overcast,North Wind,1-2,15,Excellent,1
2017-10-11,16℃,6℃,Cloudy~Overcast,West Wind,1-2,22,Excellent,1
2017-10-12,18℃,9℃,Light rain~Sunny,Southwest Wind,1-2,35,Excellent,1
2017-10-13,18℃,9℃,Sunny~Cloudy,Southwest Wind,1-2,55,Good,2
2017-10-14,13℃,9℃,Light rain,Northeast Wind,1-2,36,Excellent,1
2017-10-15,16℃,8℃,Overcast~Cloudy,North Wind,1-2,63,Good,2
2017-10-16,18℃,7℃,Sunny~Cloudy,Northeast Wind,1-2,57,Good,2
2017-10-17,16℃,11℃,Overcast~Light rain,South Wind,1-2,93,Good,2
2017-10-18,15℃,9℃,Light rain~Cloudy,South Wind,1-2,91,Good,2
2017-10-19,18℃,9℃,Sunny~Cloudy,South Wind,1-2,75,Good,2
2017-10-20,20℃,11℃,Sunny~Cloudy,Northeast Wind,1-2,123,Light Pollution,3
2017-10-21,18℃,10℃,Overcast~Light rain,East Wind,1-2,107,Light Pollution,3
2017-10-22,13℃,7℃,Overcast~Cloudy,Northwest Wind,1-2,54,Good,2
2017-10-23,16℃,5℃,Cloudy~Sunny,South Wind,1-2,51,Good,2
2017-10-24,18℃,8℃,Sunny~Cloudy,Southwest Wind,1-2,88,Good,2
2017-10-25,15℃,9℃,Overcast,South Wind,1-2,140,Light Pollution,3
2017-10-26,17℃,9℃,Overcast~Cloudy,North Wind,1-2,193,Moderate Pollution,4
2017-10-27,18℃,9℃,Cloudy-Fog,South Wind,1-2,211,Heavy Pollution,5
2017-10-28,16℃,5℃,Cloudy~Sunny,North Wind,3-4,85,Good,2
2017-10-29,12℃,1℃,Sunny,North Wind,3-4,24,Excellent,1
2017-10-30,14℃,2℃,Sunny,Northwest Wind,1-2,39,Excellent,1
2017-10-31,16℃,4℃,Sunny,Southwest Wind,1-2,80,Good,2
2017-11-01,17℃,5℃,Sunny~Overcast,Northeast Wind,1-2,92,Good,2
2017-11-02,17℃,3℃,Overcast~Sunny,North Wind,1-2,79,Good,2
2017-11-03,13℃,0℃,Sunny,North Wind,3-4,29,Excellent,1
2017-11-04,14℃,3℃,Sunny,Southwest Wind,1-2,53,Good,2
2017-11-05,15℃,4℃,Sunny~Cloudy,South Wind,1-2,128,Light Pollution,3
2017-11-06,15℃,4℃,Cloudy,South Wind,1-2,198,Moderate Pollution,4
2017-11-07,18℃,4℃,Sunny,Northwest Wind,3-4,137,Light Pollution,3
2017-11-08,13℃,4℃,Cloudy~Overcast,South Wind,1-2,40,Excellent,1
2017-11-09,13℃,5℃,Overcast~Cloudy,Northwest Wind,1-2,74,Good,2
2017-11-10,11℃,-1℃,Sunny,Northwest Wind,5-6,42,Excellent,1
2017-11-11,10℃,0℃,Sunny~Cloudy,South Wind,1-2,33,Excellent,1
2017-11-12,11℃,0℃,Cloudy~Sunny,Southwest Wind,1-2,75,Good,2
2017-11-13,12℃,0℃,Sunny,North Wind,4-5,67,Good,2
2017-11-14,8℃,-4℃,Sunny,West Wind,1-2,27,Excellent,1
2017-11-15,7℃,-3℃,Sunny,South Wind,1-2,37,Excellent,1
2017-11-16,7℃,-1℃,Sunny,South Wind,1-2,76,Good,2
2017-11-17,6℃,-4℃,Cloudy~Sunny,North Wind,5-6,60,Good,2
2017-11-18,5℃,-6℃,Sunny,Southwest Wind,3-4,50,Excellent,1
2017-11-19,7℃,-5℃,Cloudy,Southwest Wind,1-2,115,Light Pollution,3
2017-11-20,9℃,-3℃,Sunny~Cloudy,Northwest Wind,1-2,135,Light Pollution,3
2017-11-21,8℃,-2℃,Cloudy~Sunny,Southwest Wind,3-4,171,Moderate Pollution,4
2017-11-22,7℃,-5℃,Cloudy~Sunny,Northwest Wind,3-4,36,Excellent,1
2017-11-23,7℃,-4℃,Cloudy,West Wind,1-2,30,Excellent,1
2017-11-24,7℃,-5℃,Cloudy,Southwest Wind,3-4,37,Excellent,1
2017-11-25,7℃,-4℃,Overcast~Cloudy,South Wind,1-2,65,Good,2
2017-11-26,4℃,-4℃,Sunny,Southeast Wind,1-2,29,Excellent,1
2017-11-27,7℃,-3℃,Cloudy,South Wind,1-2,90,Good,2
2017-11-28,7℃,-5℃,Sunny~Cloudy,Northwest Wind,1-2,78,Good,2
